epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
73,755.313,0.39531,0.26005,0.70935,0.90538,0.86977,1,0.9775,0.73532,0.86977,1,0.9775,0.78616,0.82284,0.89968,1.68077,1.3944,0.0005744,0.0005744,0.0005744
74,765.666,0.38755,0.2703,0.69677,0.89659,1,0.99171,0.995,0.72665,1,0.99171,0.995,0.78356,0.78852,0.85879,1.68445,1.31226,0.0005546,0.0005546,0.0005546
75,776.278,0.39303,1.05863,0.74864,0.95441,1,0.99171,0.995,0.72665,1,0.99171,0.995,0.78356,0.78852,0.85879,1.68445,1.31226,0.0005348,0.0005348,0.0005348
76,787.129,0.38804,0.35352,0.68544,0.89834,1,0.99188,0.995,0.80435,1,0.99188,0.995,0.78415,0.76414,1.02626,1.58542,1.25556,0.000515,0.000515,0.000515
77,797.766,0.50897,0.25425,0.73655,0.95141,1,0.99188,0.995,0.80435,1,0.99188,0.995,0.78415,0.76414,1.02626,1.58542,1.25556,0.0004952,0.0004952,0.0004952
78,808.23,0.42959,0.25483,0.676,0.88023,1,0.992,0.995,0.7824,1,0.992,0.995,0.77176,0.78183,1.17694,1.56258,1.32628,0.0004754,0.0004754,0.0004754
79,818.831,0.40685,0.22491,0.67492,0.9697,1,0.992,0.995,0.7824,1,0.992,0.995,0.77176,0.78183,1.17694,1.56258,1.32628,0.0004556,0.0004556,0.0004556
80,829.127,0.36364,0.28199,0.67227,0.94869,1,0.99188,0.995,0.77081,1,0.99188,0.995,0.77403,0.8691,1.21354,1.51702,1.44688,0.0004358,0.0004358,0.0004358
81,838.998,0.48054,0.22167,0.64941,0.99385,1,0.99188,0.995,0.77081,1,0.99188,0.995,0.77403,0.8691,1.21354,1.51702,1.44688,0.000416,0.000416,0.000416
82,849.009,0.4247,0.28966,0.66302,0.97279,1,0.99148,0.995,0.73573,1,0.99148,0.995,0.76655,0.88071,1.08609,1.45872,1.44237,0.0003962,0.0003962,0.0003962
83,859.445,0.48174,0.39951,0.71339,0.96814,1,0.99148,0.995,0.73573,1,0.99148,0.995,0.76655,0.88071,1.08609,1.45872,1.44237,0.0003764,0.0003764,0.0003764
84,870.004,0.5303,0.30739,0.83817,1.16778,1,0.99145,0.995,0.73274,1,0.99145,0.995,0.79071,0.87123,0.91362,1.39816,1.38335,0.0003566,0.0003566,0.0003566
85,880.4,0.3187,0.28222,0.62494,0.94328,1,0.99145,0.995,0.73274,1,0.99145,0.995,0.79071,0.87123,0.91362,1.39816,1.38335,0.0003368,0.0003368,0.0003368
86,890.523,0.37965,0.34505,0.64726,0.95464,0.99053,0.85714,0.96389,0.80832,1,0.99147,0.995,0.86327,0.64237,0.77482,1.38863,1.30103,0.000317,0.000317,0.000317
87,900.763,0.36469,0.19962,0.5997,0.90816,0.99053,0.85714,0.96389,0.80832,1,0.99147,0.995,0.86327,0.64237,0.77482,1.38863,1.30103,0.0002972,0.0002972,0.0002972
88,911.174,0.31712,0.14225,0.65381,0.9364,0.98985,0.85714,0.96389,0.81552,1,0.99188,0.995,0.85532,0.57859,0.73508,1.36096,1.2556,0.0002774,0.0002774,0.0002774
89,921.758,0.36602,0.26006,0.61429,0.92236,0.98985,0.85714,0.96389,0.81552,1,0.99188,0.995,0.85532,0.57859,0.73508,1.36096,1.2556,0.0002576,0.0002576,0.0002576
90,931.527,0.44809,0.28309,0.84061,0.97632,0.98934,0.85714,0.9775,0.80742,1,0.99294,0.995,0.87956,0.57087,0.70299,1.33439,1.20471,0.0002378,0.0002378,0.0002378
91,942.443,0.35762,0.26437,1.11105,1.01523,0.98934,0.85714,0.9775,0.80742,1,0.99294,0.995,0.87956,0.57087,0.70299,1.33439,1.20471,0.000218,0.000218,0.000218
92,953.605,0.38082,0.24079,1.12728,1.08507,0.98983,0.85714,0.9775,0.79196,1,0.99,0.995,0.8715,0.62375,0.66761,1.31036,1.27245,0.0001982,0.0001982,0.0001982
93,964.916,0.29317,0.13836,0.94318,0.9013,0.98983,0.85714,0.9775,0.79196,1,0.99,0.995,0.8715,0.62375,0.66761,1.31036,1.27245,0.0001784,0.0001784,0.0001784
94,974.908,0.33811,0.18201,0.93778,0.96942,0.99042,0.85714,0.9775,0.79431,1,0.98982,0.995,0.86824,0.65519,0.6465,1.36114,1.32701,0.0001586,0.0001586,0.0001586
95,984.988,0.32152,0.19013,0.94975,0.93607,0.99042,0.85714,0.9775,0.79431,1,0.98982,0.995,0.86824,0.65519,0.6465,1.36114,1.32701,0.0001388,0.0001388,0.0001388
96,995.063,0.30612,0.18034,1.03375,0.95438,0.98922,0.85714,0.9775,0.79437,1,0.98923,0.995,0.86356,0.68256,0.63243,1.41904,1.37999,0.000119,0.000119,0.000119
97,1004.92,0.32072,0.14584,0.9553,0.8514,0.98922,0.85714,0.9775,0.79437,1,0.98923,0.995,0.86356,0.68256,0.63243,1.41904,1.37999,9.92e-05,9.92e-05,9.92e-05
98,1015.76,0.28394,0.21308,0.99126,0.90091,0.9896,0.85714,0.9775,0.80232,1,0.98886,0.995,0.89142,0.68202,0.62241,1.44434,1.39286,7.94e-05,7.94e-05,7.94e-05
99,1026.66,0.2815,0.17389,0.8674,0.85947,0.9896,0.85714,0.9775,0.80232,1,0.98886,0.995,0.89142,0.68202,0.62241,1.44434,1.39286,5.96e-05,5.96e-05,5.96e-05
100,1036.83,0.23733,0.17297,0.89006,0.85738,1,0.98925,0.995,0.80468,1,0.98925,0.995,0.91523,0.68199,0.61811,1.4665,1.37706,3.98e-05,3.98e-05,3.98e-05
